id_cliente,nombre,edad,fecha_registro,ultimo_login,pais,ciudad,nro_compras,total_gastado,metodo_pago_preferido,dispositivo,compro_en_campania_pasada
1,Laura,41,2018-09-18,2021-02-18,Perú,bogota,6,16.57,Efectivo,tablet,1
2,Carlos,57,2017-04-01,2020-02-23,,,4,141.93,Tarjeta,tablet,1
3,Juan,27,2017-07-25,2020-04-26,argentina,Buenos Aires,7,194.61,tarjeta,,0
4,Sofía,27,2022-05-20,2023-03-06,argentina,Bogotá,7,95.75,Efectivo,móvil,0
5,Laura,41,2015-07-10,2018-03-06,Colombia,CDMX,4,151.07,,Móvil,1
6,desconocido,31,2020-06-19,2021-04-06,México,bogota,3,17.86,tarjeta,tablet,1
7,María,55,2017-07-21,2018-05-01,peru,CDMX,3,293.9,Efectivo,móvil,1
8,Laura,39,2015-05-22,2018-08-16,ARGENTINA,Buenos Aires,6,6.67,tarjeta,,1
9,Juan,22,2020-03-07,2022-06-18,peru,,3,201.26,,Pc,1
10,Sofía,14,2022-11-27,2028-01-10,,,4,113.6,,Pc,0
11,Carlos,34,2021-01-24,2021-11-18,peru,Bogotá,5,40.62,tarjeta,Pc,1
12,Juan,33,2016-07-19,2017-04-27,,Lima,5,148.07,tarjeta,pc,0
13,Juan,38,2018-07-06,2023-11-14,,Buenos Aires,9,303.69,efectivo,Móvil,1
14,María,49,2019-01-02,2022-08-24,peru,Medellín,2,106.72,,,1
15,Pedro,47,2018-02-08,2023-01-26,ARGENTINA,cdmx,3,91.68,,Pc,1
16,Sofía,28,2017-01-13,2018-11-01,,Medellín,5,30.74,Tarjeta,tablet,1
17,Luis,19,2016-11-03,2019-04-12,Perú,,7,180.56,Efectivo,pc,1
18,Juan,20,2022-12-21,2027-12-07,colombia,Medellín,2,352.07,Efectivo,Pc,0
19,Pedro,26,2022-11-26,2027-05-23,colombia,bogota,2,164.81,efectivo,móvil,0
20,Luis,30,2016-06-14,2020-04-20,mexico,,7,36.09,tarjeta,tablet,0
21,Sofía,38,2018-08-06,2020-02-17,Colombia,Buenos Aires,0,216.49,tarjeta,pc,0
22,Ana,25,2016-07-15,2021-10-25,COLOMBIA,Buenos Aires,6,6.12,Efectivo,pc,0
23,desconocido,38,2019-03-14,2022-01-11,Perú,bogota,4,364.1,paypal,tablet,0
24,Pedro,39,2021-01-31,2026-05-10,Perú,cdmx,4,508.92,Efectivo,Pc,0
25,,36,2015-10-29,2017-08-23,COLOMBIA,CDMX,9,181.78,Efectivo,,1
26,Ana,21,2015-07-04,2019-10-23,Colombia,bogota,6,427.04,efectivo,,1
27,desconocido,40,2016-05-24,2020-05-09,colombia,CDMX,7,17.66,tarjeta,móvil,0
28,María,59,2022-11-06,2024-03-02,ARGENTINA,medellin,9,51.84,Tarjeta,móvil,0
29,Laura,37,2018-08-26,2020-03-18,,,7,76.33,Efectivo,,1
30,Carlos,0,2018-10-01,2023-04-09,COLOMBIA,Bogotá,6,296.71,Efectivo,,0
31,,49,2021-01-12,2022-03-25,ARGENTINA,cdmx,5,132.42,Tarjeta,móvil,1
32,María,26,2022-10-05,2027-06-22,mexico,Lima,5,85.65,efectivo,pc,0
33,Sofía,62,2017-03-05,2020-02-23,,cdmx,2,34.41,paypal,Pc,1
34,María,36,2021-10-15,2022-09-09,peru,CDMX,3,332.82,efectivo,,1
35,Laura,14,2019-03-04,2023-05-19,Perú,medellin,4,4.15,Efectivo,,0
36,Sofía,10,2017-01-30,2017-04-28,,CDMX,6,82.28,efectivo,tablet,0
37,,53,2021-01-03,2025-07-07,peru,,4,55.62,,Móvil,1
38,Laura,48,2021-12-03,2026-04-22,colombia,CDMX,6,27.63,Tarjeta,móvil,0
39,Luis,61,2016-03-10,2020-06-05,peru,Buenos Aires,6,37.76,efectivo,tablet,0
40,Carlos,35,2019-03-23,2024-06-15,peru,Lima,6,136.16,Efectivo,,1
41,,34,,,México,medellin,1,111.04,Tarjeta,,1
42,Luis,30,2019-09-03,2022-08-22,COLOMBIA,CDMX,4,146.12,Tarjeta,tablet,0
43,desconocido,27,2015-03-10,2017-03-29,,Lima,3,260.11,Efectivo,,1
44,,30,2019-06-18,2019-08-26,COLOMBIA,cdmx,5,445.73,Efectivo,móvil,0
45,desconocido,37,2020-03-19,2022-03-18,,Medellín,11,25.22,Efectivo,Móvil,1
46,Sofía,24,2021-02-11,2023-10-19,Perú,Medellín,8,17.26,paypal,pc,0
47,Luis,14,2022-06-22,2025-08-28,argentina,bogota,4,77.24,Efectivo,pc,0
48,Carlos,36,2021-03-01,2022-12-29,COLOMBIA,Medellín,6,158.06,efectivo,Pc,0
